name,ttm,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
DilutedNIAvailtoComStockholders,"4,776,000,000","2,354,000,000","3,145,000,000","1,995,000,000","-2,864,000,000","11,054,000,000","12,598,000,000","8,980,000,000","9,391,000,000","8,382,000,000","7,501,000,000","6,136,000,000","5,682,000,000","4,807,000,000","3,963,000,000","3,307,000,000","4,427,000,000","4,687,000,000","3,374,000,000","2,533,000,000","2,345,000,000","1,267,000,000","1,236,000,000","-158,000,000","920,000,000","1,300,000,000","1,850,000,000","1,966,000,000","1,214,000,000","1,380,000,000","1,110,400,000","299,800,000","816,700,000","636,600,000","824,000,000","703,300,000","522,000,000","444,700,000","247,300,000","173,500,000"
BasicEPS,"2.62","1.29","1.73","1.1","-1.58","6.68","8.4","5.73","5.76","4.95","4.31","3.42","3.17","2.56","2.07","1.78","2.34","2.34","1.68","1.21","1.08","0.59","0.6","-0.02","0.58","0.63","0.91","0.323","0.217","0.29","0.23","0.06","0.17","0.033","0.042","0.036","0.027","0.023","0.013","0.002"
DilutedEPS,"2.61","1.29","1.72","1.09","-1.58","6.64","8.36","5.69","5.73","4.9","4.26","3.38","3.13","2.52","2.03","1.76","2.28","2.25","1.64","1.19","1.07","0.59","0.6","-0.02","0.57","0.62","0.89","0.317","0.217","0.29","0.227","0.06","0.17","0.033","0.042","0.036","0.027","0.023","0.013","0.002"
BasicAverageShares,"1,829,500,000","1,828,000,000","1,822,000,000","1,816,000,000","1,808,000,000","1,656,000,000","1,499,000,000","1,568,000,000","1,629,000,000","1,694,000,000","1,740,000,000","1,792,000,000","1,794,000,000","1,878,000,000","1,915,000,000","1,856,000,000","1,890,000,000","2,004,000,000","2,005,000,000","2,093,388,430","2,171,296,296","2,147,457,627","2,044,000,000","2,100,000,000","1,586,206,897","2,063,492,063","2,032,967,033","2,024,999,973","2,024,024,000","1,574,775,000","1,573,874,000","1,608,108,000","1,574,775,000","1,563,964,000","1,583,183,000","1,625,225,000","1,600,000,000","1,581,982,000","1,569,970,000","1,554,066,000"
DilutedAverageShares,"1,834,500,000","1,830,000,000","1,827,000,000","1,828,000,000","1,808,000,000","1,666,000,000","1,507,000,000","1,578,000,000","1,639,000,000","1,709,000,000","1,759,000,000","1,813,000,000","1,818,000,000","1,909,000,000","1,948,000,000","1,875,000,000","1,948,000,000","2,092,000,000","2,076,000,000","2,128,571,429","2,191,588,785","2,147,457,627","2,044,000,000","2,100,000,000","1,614,035,088","2,096,774,194","2,078,651,685","2,024,999,973","2,024,024,000","1,574,775,000","1,573,874,000","1,608,108,000","1,574,775,000","1,563,964,000","1,583,183,000","1,625,225,000","1,600,000,000","1,581,982,000","1,569,970,000","1,554,066,000"
TotalExpenses,"78,776,000,000","79,906,000,000","75,952,000,000","63,759,000,000","61,594,000,000","57,777,000,000","44,597,000,000","41,264,000,000","41,274,000,000","39,241,000,000","37,273,000,000","35,591,000,000","33,415,000,000","33,112,000,000","31,337,000,000","30,452,000,000","30,400,000,000","28,729,000,000","28,392,000,000","27,443,000,000","26,704,000,000","24,348,000,000","22,945,000,000","22,340,000,000","22,893,000,000","20,311,000,000","19,061,000,000","18,528,000,000","15,715,000,000","9,924,000,000","8,251,600,000","6,968,900,000","6,216,900,000","5,178,300,000","4,556,700,000","3,484,900,000","2,649,400,000","2,170,300,000","1,967,400,000","1,653,900,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"4,776,000,000","2,354,000,000","3,145,000,000","1,995,000,000","-2,864,000,000","11,054,000,000","12,598,000,000","8,980,000,000","9,391,000,000","8,382,000,000","7,501,000,000","6,136,000,000","5,682,000,000","4,807,000,000","3,963,000,000","3,307,000,000","4,427,000,000","4,687,000,000","3,374,000,000","2,569,000,000","2,345,000,000","1,338,000,000","1,236,000,000","120,000,000","920,000,000","1,300,000,000","1,850,000,000","1,966,000,000","1,214,000,000","1,380,000,000","1,110,400,000","671,300,000","816,700,000","636,600,000","824,000,000","703,300,000","522,000,000","444,700,000","247,300,000","173,500,000"
NormalizedIncome,"7,204,371,001.573","5,001,053,000","3,797,800,000","2,671,460,000","1,354,550,000","11,293,289,000","12,627,271,000","8,993,580,000","9,493,648,000","8,415,814,000","7,612,834,000","6,331,270,000","5,573,279,000","4,793,920,000","4,047,606,911.121","3,034,634,676.564","4,118,420,291.813","4,013,384,854.369","3,246,363,636.364","2,464,151,666.229","2,388,511,099.224","1,338,000,000","1,215,242,922.374","979,200,000","681,800,000","1,365,400,000","1,888,400,000","1,885,000,000","1,529,000,000","1,380,000,000","1,097,879,633.545","876,690,297.952","727,928,260.87","561,970,603.829","773,740,167.585","662,184,187.701","522,000,000","392,300,000","247,300,000","173,500,000"
InterestIncome,"858,000,000","764,000,000","152,000,000","140,000,000","156,000,000","268,000,000","108,000,000","122,000,000","94,000,000","148,000,000","317,000,000","114,000,000","103,000,000","92,000,000","47,000,000","122,000,000",,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"2,039,000,000","1,973,000,000","1,549,000,000","1,406,000,000","1,491,000,000","978,000,000","574,000,000","507,000,000","354,000,000","265,000,000","294,000,000","349,000,000","472,000,000","435,000,000","456,000,000","588,000,000","524,000,000",,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-1,181,000,000","-1,209,000,000","-1,397,000,000","-1,406,000,000","-1,491,000,000","-978,000,000","-574,000,000","-385,000,000","-260,000,000","-117,000,000","23,000,000","-235,000,000","-393,000,000","-343,000,000","-409,000,000","-466,000,000","-524,000,000",,,,,,,,,,,,,,,,,,,,,,,
EBIT,"9,667,000,000","6,742,000,000","6,834,000,000","3,967,000,000","-252,000,000","14,901,000,000","15,303,000,000","14,295,000,000","15,222,000,000","14,133,000,000","12,540,000,000","9,969,000,000","9,732,000,000","8,478,000,000","7,083,000,000","6,246,000,000","7,926,000,000","6,781,000,000","5,355,000,000","3,931,000,000","4,048,000,000","2,713,000,000","2,384,000,000","2,832,000,000","2,525,000,000","3,124,000,000","3,915,000,000","3,945,000,000","3,024,000,000","2,227,000,000","1,803,500,000","1,560,300,000","1,287,100,000","1,004,100,000","1,287,000,000","1,109,400,000","847,700,000","755,500,000","503,500,000","361,500,000"
EBITDA,"14,781,000,000","12,111,000,000","11,997,000,000","9,078,000,000","5,093,000,000","19,068,000,000","18,314,000,000","17,077,000,000","17,749,000,000","16,487,000,000","14,828,000,000","12,161,000,000","11,719,000,000","10,319,000,000","8,796,000,000","7,877,000,000","9,508,000,000","8,272,000,000","6,792,000,000","5,272,000,000","5,258,000,000","3,790,000,000","3,426,000,000","4,586,000,000","4,720,000,000","6,903,000,000","7,669,000,000","7,117,000,000","6,759,000,000","4,080,000,000","3,411,800,000","2,588,700,000","2,046,700,000","1,798,600,000","1,825,300,000","1,573,000,000","847,700,000","755,500,000","503,500,000","361,500,000"
ReconciledCostOfRevenue,"58,196,000,000","59,201,000,000","54,401,000,000","45,131,000,000","43,880,000,000","42,061,000,000","32,726,000,000","30,306,000,000","29,993,000,000","28,364,000,000","26,420,000,000","25,034,000,000","23,468,000,000","33,112,000,000","31,337,000,000","30,452,000,000","30,400,000,000","28,729,000,000","28,392,000,000","27,443,000,000","26,704,000,000","24,348,000,000","21,903,000,000","20,586,000,000","20,698,000,000","16,392,000,000","15,143,000,000","14,989,000,000","11,671,000,000","7,832,000,000","6,481,100,000","5,776,300,000","5,309,100,000","4,223,000,000","3,879,900,000","2,901,700,000",,,,
ReconciledDepreciation,"5,114,000,000","5,369,000,000","5,163,000,000","5,111,000,000","5,345,000,000","4,167,000,000","3,011,000,000","2,782,000,000","2,527,000,000","2,354,000,000","2,288,000,000","2,192,000,000","1,987,000,000","1,841,000,000","1,713,000,000","1,631,000,000","1,582,000,000","1,491,000,000","1,437,000,000","1,341,000,000","1,210,000,000","1,077,000,000","1,042,000,000","1,754,000,000","2,195,000,000","3,779,000,000","3,754,000,000","3,172,000,000","3,735,000,000","1,853,000,000","1,608,300,000","1,028,400,000","759,600,000","794,500,000","538,300,000","463,600,000",,,,
NetIncomeFromContinuingOperationNetMinorityInterest,"4,776,000,000","2,354,000,000","3,193,000,000","2,024,000,000","-2,832,000,000","10,367,000,000","12,598,000,000","8,980,000,000","9,391,000,000","8,382,000,000","7,501,000,000","6,136,000,000","5,682,000,000","4,807,000,000","3,963,000,000","3,307,000,000","4,427,000,000","4,674,000,000","3,304,000,000","2,460,000,000","2,345,000,000","1,338,000,000","1,236,000,000","120,000,000","920,000,000","1,300,000,000","1,850,000,000","1,966,000,000","1,214,000,000","1,380,000,000","1,110,400,000","671,300,000","816,700,000","636,600,000","824,000,000","703,300,000","522,000,000","392,300,000","247,300,000","173,500,000"
TotalUnusualItemsExcludingGoodwill,"-3,138,000,000","-3,723,000,000","-900,000,000","-654,000,000","-5,735,000,000","-1,183,000,000","-33,000,000","-20,000,000","-156,000,000","-53,000,000","-171,000,000","-283,000,000","163,000,000","20,000,000","-130,000,000","427,000,000","483,000,000","1,052,000,000","88,000,000","-6,000,000","-64,000,000","0","34,000,000","-1,432,000,000","397,000,000","-109,000,000","-64,000,000","135,000,000","-525,000,000","32,900,000","19,200,000","-328,600,000","141,500,000","119,400,000","80,800,000","67,400,000",,,,
TotalUnusualItems,"-3,138,000,000","-3,723,000,000","-900,000,000","-654,000,000","-5,735,000,000","-1,183,000,000","-33,000,000","-20,000,000","-156,000,000","-53,000,000","-171,000,000","-283,000,000","163,000,000","20,000,000","-130,000,000","427,000,000","483,000,000","1,052,000,000","88,000,000","-6,000,000","-64,000,000","0","34,000,000","-1,432,000,000","397,000,000","-109,000,000","-64,000,000","135,000,000","-525,000,000","32,900,000","19,200,000","-328,600,000","141,500,000","119,400,000","80,800,000","67,400,000",,,,
NormalizedEBITDA,"17,919,000,000","15,834,000,000","12,897,000,000","9,732,000,000","10,828,000,000","20,251,000,000","18,347,000,000","17,097,000,000","17,905,000,000","16,540,000,000","14,999,000,000","12,444,000,000","11,556,000,000","10,299,000,000","8,926,000,000","7,450,000,000","9,025,000,000","7,220,000,000","6,704,000,000","5,278,000,000","5,322,000,000","3,790,000,000","3,392,000,000","6,018,000,000","4,323,000,000","7,012,000,000","7,733,000,000","6,982,000,000","7,284,000,000","4,080,000,000","3,392,600,000","2,917,300,000","1,905,200,000","1,679,200,000","1,744,500,000","1,505,600,000","847,700,000","755,500,000","503,500,000","361,500,000"
TaxRateForCalcs,"0.226","0.289","0.328","0.01","0.27","0.217","0.113","0.321","0.342","0.362","0.346","0.31","0.333","0.346","0.349","0.362","0.361","0.372","0.345","0.308","0.32","0.35","0.389","0.4","0.4","0.4","0.4","0.4","0.4","0.348","0.348","0.375","0.373","0.375","0.378","0.39","0.38","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"-709,628,998.427","-1,075,947,000","-295,200,000","-6,540,000","-1,548,450,000","-256,711,000","-3,729,000","-6,420,000","-53,352,000","-19,186,000","-59,166,000","-87,730,000","54,279,000","6,920,000","-45,393,088.879","154,634,676.564","174,420,291.813","391,384,854.369","30,363,636.364","-1,848,333.771","-20,488,900.776","0","13,242,922.374","-572,800,000","158,800,000","-43,600,000","-25,600,000","54,000,000","-210,000,000","0","6,679,633.545","-123,209,702.048","52,728,260.87","44,770,603.829","30,540,167.585","26,284,187.701","0","0","0","0"
